Wavelength	Excitation	Emission
739	0	0.007
739.5	0	0.007
740	0	0.007
740.5	0	0.007
741	0	0.007
741.5	0	0.007
742	0	0.007
742.5	0	0.007
743	0	0.006
743.5	0	0.007
744	0	0.007
744.5	0	0.006
745	0	0.006
745.5	0	0.006
746	0	0.006
746.5	0	0.006
747	0	0.006
747.5	0	0.006
748	0	0.006
748.5	0	0.006
749	0	0.006
749.5	0	0.006
750	0	0.005
750.5	0	0.005
751	0	0.005
751.5	0	0.005
752	0	0.005
752.5	0	0.005
753	0	0.005
753.5	0	0.004
754	0	0.004
754.5	0	0.004
755	0	0.004
755.5	0	0.004
756	0	0.005
756.5	0	0.004
757	0	0.004
757.5	0	0.004
758	0	0.004
758.5	0	0.004
759	0	0.004
759.5	0	0.004
760	0	0.004
760.5	0	0.004
761	0	0.004
761.5	0	0.004
762	0	0.004
762.5	0	0.003
763	0	0.004
763.5	0	0.004
764	0	0.003
764.5	0	0.004
765	0	0.003
765.5	0	0.003
766	0	0.003
766.5	0	0.004
767	0	0.004
767.5	0	0.003
768	0	0.003
768.5	0	0.003
769	0	0.003
769.5	0	0.003
770	0	0.003
770.5	0	0.003
771	0	0.003
771.5	0	0.003
772	0	0.003
772.5	0	0.003
773	0	0.003
773.5	0	0.003
774	0	0.003
774.5	0	0.003
775	0	0.003
775.5	0	0.003
776	0	0.002
776.5	0	0.003
777	0	0.003
777.5	0	0.003
778	0	0.003
778.5	0	0.003
779	0	0.003
779.5	0	0.002
780	0	0.003
780.5	0	0.003
781	0	0.002
781.5	0	0.002
782	0	0.002
782.5	0	0.002
783	0	0.002
783.5	0	0.002
784	0	0.002
784.5	0	0.002
785	0	0.002
785.5	0	0.002
786	0	0.002
786.5	0	0.002
787	0	0.002
787.5	0	0.002
788	0	0.002
788.5	0	0.002
789	0	0.002
789.5	0	0.002
790	0	0.002
790.5	0	0.002
791	0	0.002
791.5	0	0.002
792	0	0.002
792.5	0	0.002
793	0	0.002
793.5	0	0.001
794	0	0.002
794.5	0	0.002
795	0	0.002
795.5	0	0.001
796	0	0.001
796.5	0	0.002
797	0	0.002
797.5	0	0.002
798	0	0.002
798.5	0	0.001
799	0	0.001
799.5	0	0.001
800	0	0.002
800.5	0	0.001
801	0	0.002
801.5	0	0.001
802	0	0.002
802.5	0	0.001
803	0	0.001
803.5	0	0.001
804	0	0.001
804.5	0	0.001
805	0	0.001
805.5	0	0.001
806	0	0.001
806.5	0	0.001
807	0	0.001
807.5	0	0.001
808	0	0.001
808.5	0	0.001
809	0	0.001
809.5	0	0.001
810	0	0.001
810.5	0	0.001
811	0	0.001
811.5	0	0.001
812	0	0.001
812.5	0	0.001
813	0	0.001
813.5	0	0.001
814	0	0.001
814.5	0	0.001
815	0	0.001
815.5	0	0.001
816	0	0.001
816.5	0	0.001
817	0	0.001
817.5	0	0.001
818	0	0.001
818.5	0	0.001
819	0	0.001
819.5	0	0.001
820	0	0.001
820.5	0	0.001
821	0	0.001
821.5	0	0.001
822	0	0.001
822.5	0	0.001
823	0	0.001
823.5	0	0.001
824	0	0.001
824.5	0	0.001
825	0	0.001
825.5	0	0.001
826	0	0.001
826.5	0	0.001
827	0	0.001
827.5	0	0.001
828	0	0.001
828.5	0	0.001
829	0	0.001
829.5	0	0.001
830	0	0
830.5	0	0.001
831	0	0.001
831.5	0	0.001
832	0	0.001
832.5	0	0.001
833	0	0.001
833.5	0	0.001
834	0	0.001
834.5	0	0.001
835	0	0.001
835.5	0	0.001
836	0	0.001
836.5	0	0.001
837	0	0.001
837.5	0	0.001
838	0	0
838.5	0	0.001
839	0	0.001
839.5	0	0
840	0	0.001
840.5	0	0
841	0	0.001
841.5	0	0.001
842	0	0
842.5	0	0.001
843	0	0.001
843.5	0	0.001
844	0	0.001
844.5	0	0.001
845	0	0
845.5	0	0.001
846	0	0
846.5	0	0.001
847	0	0.001
847.5	0	0
848	0	0
848.5	0	0
849	0	0.001
849.5	0	0.001
850	0	0
